bug: apr_signal_description_get in ap_process_child_status, pair: (apr_proc_wait, apr_signal_description_get), support: 3, confidence: 75.00%
bug: apr_proc_wait in ap_reclaim_child_processes, pair: (apr_proc_wait, apr_signal_description_get), support: 3, confidence: 75.00%
bug: apr_signal_description_get in ap_process_child_status, pair: (ap_log_error_, apr_signal_description_get), support: 3, confidence: 75.00%
bug: apr_signal_description_get in ap_relieve_child_processes, pair: (apr_signal_description_get, log_error_core), support: 3, confidence: 75.00%
bug: apr_file_open_stdout in ap_open_logs, pair: (apr_file_open_stdout, apr_file_printf), support: 7, confidence: 77.78%
bug: apr_file_open_stdout in open_error_log, pair: (apr_file_open_stdout, apr_file_printf), support: 7, confidence: 77.78%
bug: strncmp in core_check_config, pair: (strlen, strncmp), support: 13, confidence: 81.25%
bug: strncmp in core_dump_config, pair: (strlen, strncmp), support: 13, confidence: 81.25%
bug: strncmp in ap_core_translate, pair: (strlen, strncmp), support: 13, confidence: 81.25%
bug: apr_uri_unparse in ap_add_common_vars, pair: (ap_get_useragent_host, apr_uri_unparse), support: 5, confidence: 71.43%
bug: apr_uri_unparse in update_child_status_internal, pair: (ap_get_useragent_host, apr_uri_unparse), support: 5, confidence: 71.43%
bug: apr_pollset_wakeup in decrement_connection_count, pair: (apr_pollset_wakeup, apr_thread_mutex_lock), support: 7, confidence: 77.78%
bug: apr_pollset_wakeup in child_main, pair: (apr_pollset_wakeup, apr_thread_mutex_lock), support: 7, confidence: 77.78%
bug: apr_pollset_wakeup in decrement_connection_count, pair: (apr_pollset_wakeup, kill), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in event_register_timed_callback, pair: (apr_pollset_wakeup, kill), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in process_socket, pair: (apr_pollset_wakeup, kill), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in signal_threads, pair: (apr_pollset_wakeup, log_error_core), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in decrement_connection_count, pair: (apr_pollset_wakeup, log_error_core), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in event_register_timed_callback, pair: (apr_pollset_wakeup, log_error_core), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in decrement_connection_count, pair: (apr_atomic_cas32, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in event_register_timed_callback, pair: (apr_atomic_cas32, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in process_socket, pair: (apr_atomic_cas32, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_atomic_cas32 in ap_queue_info_try_get_idler, pair: (apr_atomic_cas32, apr_pollset_wakeup), support: 6, confidence: 85.71%
bug: apr_pollset_wakeup in decrement_connection_count, pair: (apr_pollset_wakeup, apr_thread_mutex_unlock), support: 7, confidence: 77.78%
bug: apr_pollset_wakeup in child_main, pair: (apr_pollset_wakeup, apr_thread_mutex_unlock), support: 7, confidence: 77.78%
bug: apr_pollset_wakeup in join_workers, pair: (apr_atomic_casptr, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in decrement_connection_count, pair: (apr_atomic_casptr, apr_pollset_wakeup), support: 6, confidence: 66.67%
bug: apr_pollset_wakeup in event_register_timed_callback, pair: (apr_atomic_casptr, apr_pollset_wakeup), support: 6, confidence: 66.67%
